kor,eng
간,Gan
간건,"Gangeon, Gangun"
간나,Ganna
간난,Gannan
간니,Ganni
간란,Ganran
간랑,Ganrang
간량,Ganryang
간름,"Ganreum, Ganrum"
간리,Ganri
간무,"Ganmoo, Ganmu"
간밀,Ganmil
간방,Ganbang
간수,"Gansoo, Gansu"
간숙,"Gansook, Gansuk, Gansoock, Gansuck, Gansoog, Gansug"
간아,Gana
간앙,Ganang
간야,Ganya
간양,Ganyang
간어,"Ganeo, Ganu"
간영,"Ganyeong, Ganyung, Ganyoung"
간온,Ganon
간우,"Ganoo, Ganu"
간욱,"Ganook, Ganuk, Ganoock, Ganuck, Ganoog, Ganug"
간이,Gani
간자,Ganja
간준,"Ganjoon, Ganjun"
간지,Ganji
간직,"Ganjik, Ganjick, Ganjig"
간태,Gantae
간현,"Ganhyeon, Ganhyun, Ganhyoun"
간호,Ganho
간화,"Ganhwa, Ganhoa"
간후,"Ganhoo, Ganhu"
갈라,Galra
갈랩,Galraeb
갈렙,Galreb
갈비,Galbi
갈산,Galsan
감,Gam
감격,"Gamgyeok, Gamgyuck, Gamgyoug"
감결,"Gamgyeol, Gamgyul, Gamgyoul"
감경,"Gamgyeong, Gamgyung, Gamgyoung"
감귤,Gamgyul
감나,Gamna
감니,Gamni
감대,Gamdae
감동,Gamdong
감람,Gamram
감록,"Gamrok, Gamrock, Gamrog"
감룡,Gamryong
감리,Gamri
감모,Gammo
감미,Gammi
감박,"Gambak, Gamback, Gambag"
감방,Gambang
감보,Gambo
감비,Gambi
감사,Gamsa
감서,"Gamseo, Gamsu"
감성,"Gamseong, Gamsung"
감송,Gamsong
감승,"Gamseung, Gamsung"
감심,Gamsim
감언,"Gameon, Gamun"
감용,Gamyong
감우,"Gamoo, Gamu"
감운,"Gamoon, Gamun"
감원,"Gamwon, Gamuon"
감유,Gamyu
감은,"Gameun, Gamun"
감의,Gamui
감장,Gamjang
감재,Gamjae
감제,Gamje
감조,Gamjo
감종,Gamjong
감주,"Gamjoo, Gamju"
감중,"Gamjoong, Gamjung"
감지,Gamji
감찬,Gamchan
감채,Gamchae
감천,"Gamcheon, Gamchun"
감초,Gamcho
감축,"Gamchook, Gamchuk, Gamchoock, Gamchuck, Gamchoog, Gamchug"
감태,Gamtae
감포,Gampo
감현,"Gamhyeon, Gamhyun, Gamhyoun"
감혜,Gamhye
감훈,"Gamhoon, Gamhun"
감희,Gamhui
갑,Gab
갑개,Gabgae
갑경,"Gabgyeong, Gabgyung, Gabgyoung"
갑곤,Gabgon
갑구,"Gabgoo, Gabgu"
갑균,Gabgyun
갑근,"Gabgeun, Gabgun"
갑기,Gabgi
갑길,Gabgil
갑남,Gabnam
갑년,"Gabnyeon, Gabnyun, Gabnyoun"
갑덕,"Gabdeok, Gabduck, Gabdug"
갑도,Gabdo
갑동,Gabdong
갑득,"Gabdeuk, Gabduck, Gabdug"
갑란,Gabran
갑래,Gabrae
갑렬,"Gabryeol, Gabryul, Gabryoul"
갑록,"Gabrok, Gabrock, Gabrog"
갑룡,Gabryong
갑리,Gabri
갑림,Gabrim
갑만,Gabman
갑모,Gabmo
갑무,"Gabmoo, Gabmu"
갑미,Gabmi
갑민,Gabmin
갑범,"Gabbeom, Gabbum"
갑부,"Gabboo, Gabbu"
갑분,"Gabboon, Gabbun"
갑비,Gabbi
갑빈,Gabbin
갑산,Gabsan
갑상,Gabsang
갑생,Gabsaeng
갑서,"Gabseo, Gabsu"
갑석,"Gabseok, Gabsuck, Gabsug"
갑선,"Gabseon, Gabsun"
갑섭,"Gabseob, Gabsub"
갑성,"Gabseong, Gabsung"
갑수,"Gabsoo, Gabsu"
갑숙,"Gabsook, Gabsuk, Gabsoock, Gabsuck, Gabsoog, Gabsug"
갑순,"Gabsoon, Gabsun"
갑술,"Gabsool, Gabsul"
갑승,"Gabseung, Gabsung"
갑식,"Gabsik, Gabsick, Gabsig"
갑신,Gabsin
갑심,Gabsim
갑애,Gabae
갑여,"Gabyeo, Gabyu, Gabyou"
갑연,"Gabyeon, Gabyun, Gabyoun"
갑열,"Gabyeol, Gabyul, Gabyoul"
갑엽,"Gabyeob, Gabyub, Gabyoub"
갑영,"Gabyeong, Gabyung, Gabyoung"
갑예,Gabye
갑용,Gabyong
갑운,"Gaboon, Gabun"
갑원,"Gabwon, Gabuon"
갑유,Gabyu
갑윤,Gabyun
갑이,Gabi
갑인,Gabin
갑임,Gabim
갑재,Gabjae
갑정,"Gabjeong, Gabjung"
갑제,Gabje
갑조,Gabjo
갑종,Gabjong
갑주,"Gabjoo, Gabju"
갑준,"Gabjoon, Gabjun"
갑중,"Gabjoong, Gabjung"
갑진,Gabjin
갑천,"Gabcheon, Gabchun"
갑철,"Gabcheol, Gabchul"
갑태,Gabtae
갑풍,"Gabpoong, Gabpung"
갑헌,"Gabheon, Gabhun"
갑현,"Gabhyeon, Gabhyun, Gabhyoun"
갑환,"Gabhwan, Gabhoan"
갑희,Gabhui
강,Gang
강개,Ganggae
강건,"Ganggeon, Ganggun"
강검,"Ganggeom, Ganggum"
강결,"Ganggyeol, Ganggyul, Ganggyoul"
강겸,"Ganggyeom, Ganggyum, Ganggyoum"
강경,"Ganggyeong, Ganggyung, Ganggyoung"
강곤,Ganggon
강교,Ganggyo
강구,"Ganggoo, Ganggu"
강국,"Ganggook, Gangguk, Ganggoock, Gangguck, Ganggoog, Ganggug"
강군,"Ganggoon, Ganggun"
강권,"Ganggwon, Gangguon"
강귀,Ganggwi
강규,Ganggyu
강균,Ganggyun
강근,"Ganggeun, Ganggun"
강금,"Ganggeum, Ganggum"
강기,Ganggi
강길,Ganggil
강나,Gangna
강남,Gangnam
강년,"Gangnyeon, Gangnyun, Gangnyoun"
강녕,"Gangnyeong, Gangnyung, Gangnyoung"
강노,Gangno
강늘,"Gangneul, Gangnul"
강님,Gangnim
강다,Gangda
강단,Gangdan
강담,Gangdam
강대,Gangdae
강덕,"Gangdeok, Gangduck, Gangdug"
강돈,Gangdon
강동,Gangdong
강두,Gangdwoo
강득,"Gangdeuk, Gangduck, Gangdug"
강들,"Gangdeul, Gangdul"
강등,"Gangdeung, Gangdung"
강라,Gangra
강락,"Gangrak, Gangrack, Gangrag"
강란,Gangran
강람,Gangram
강래,Gangrae
강량,Gangryang
강련,"Gangryeon, Gangryun, Gangryoun"
강렬,"Gangryeol, Gangryul, Gangryoul"
강령,"Gangryeong, Gangryung, Gangryoung"
강로,Gangro
강록,"Gangrok, Gangrock, Gangrog"
강룡,Gangryong
강루,"Gangroo, Gangru"
강류,Gangryu
강륜,Gangryun
강률,Gangryul
강름,"Gangreum, Gangrum"
강리,Gangri
강릭,"Gangrik, Gangrick, Gangrig"
강린,Gangrin
강림,Gangrim
강립,Gangrib
강만,Gangman
강말,Gangmal
강매,Gangmae
강명,"Gangmyeong, Gangmyung, Gangmyoung"
강모,Gangmo
강목,"Gangmok, Gangmock, Gangmog"
강묘,Gangmyo
강무,"Gangmoo, Gangmu"
강묵,"Gangmook, Gangmuk, Gangmoock, Gangmuck, Gangmoog, Gangmug"
강문,"Gangmoon, Gangmun"
강물,"Gangmool, Gangmul"
강미,Gangmi
강민,Gangmin
강배,Gangbae
강백,"Gangbaek, Gangbaeck, Gangbaeg"
강범,"Gangbeom, Gangbum"
강별,"Gangbyeol, Gangbyul, Gangbyoul"
강병,"Gangbyeong, Gangbyung, Gangbyoung"
강보,Gangbo
강복,"Gangbok, Gangbock, Gangbog"
강봄,Gangbom
강봉,Gangbong
강비,Gangbi
강빈,Gangbin
강빛,Gangbich
강사,Gangsa
강산,Gangsan
강생,Gangsaeng
강서,"Gangseo, Gangsu"
강석,"Gangseok, Gangsuck, Gangsug"
강선,"Gangseon, Gangsun"
강설,"Gangseol, Gangsul"
강섬,"Gangseom, Gangsum"
강섭,"Gangseob, Gangsub"
강성,"Gangseong, Gangsung"
강세,Gangse
강솔,Gangsol
강송,Gangsong
강수,"Gangsoo, Gangsu"
강숙,"Gangsook, Gangsuk, Gangsoock, Gangsuck, Gangsoog, Gangsug"
강순,"Gangsoon, Gangsun"
강슬,"Gangseul, Gangsul"
강습,"Gangseub, Gangsub"
강승,"Gangseung, Gangsung"
강식,"Gangsik, Gangsick, Gangsig"
강신,Gangsin
강심,Gangsim
강아,Ganga
강안,Gangan
강애,Gangae
강양,Gangyang
강언,"Gangeon, Gangun"
강엘,Gangel
강연,"Gangyeon, Gangyun, Gangyoun"
강열,"Gangyeol, Gangyul, Gangyoul"
강엽,"Gangyeob, Gangyub, Gangyoub"
강영,"Gangyeong, Gangyung, Gangyoung"
강예,Gangye
강오,Gango
강옥,"Gangok, Gangock, Gangog"
강온,Gangon
강완,"Gangwan, Gangoan"
강용,Gangyong
강우,"Gangoo, Gangu"
강욱,"Gangook, Ganguk, Gangoock, Ganguck, Gangoog, Gangug"
강운,"Gangoon, Gangun"
강울,"Gangool, Gangul"
강웅,"Gangoong, Gangung"
강원,"Gangwon, Ganguon"
강위,Gangwi
강유,Gangyu
강윤,Gangyun
강율,Gangyul
강융,Gangyung
강은,"Gangeun, Gangun"
강을,"Gangeul, Gangul"
강음,"Gangeum, Gangum"
강의,Gangui
강이,Gangi
강익,"Gangik, Gangick, Gangig"
강인,Gangin
강일,Gangil
강임,Gangim
강자,Gangja
강장,Gangjang
강재,Gangjae
강전,"Gangjeon, Gangjun"
강정,"Gangjeong, Gangjung"
강제,Gangje
강조,Gangjo
강존,Gangjon
강종,Gangjong
강주,"Gangjoo, Gangju"
강준,"Gangjoon, Gangjun"
강중,"Gangjoong, Gangjung"
강지,Gangji
강직,"Gangjik, Gangjick, Gangjig"
강진,Gangjin
강차,Gangcha
강찬,Gangchan
강채,Gangchae
강천,"Gangcheon, Gangchun"
강철,"Gangcheol, Gangchul"
강청,"Gangcheong, Gangchung"
강치,Gangchi
강타,Gangta
강탁,"Gangtak, Gangtack, Gangtag"
강탄,Gangtan
강태,Gangtae
강택,"Gangtaek, Gangtaeck, Gangtaeg"
강토,Gangto
강특,"Gangteuk, Gangtuck, Gangtug"
강평,"Gangpyeong, Gangpyung, Gangpyoung"
강표,Gangpyo
강풍,"Gangpoong, Gangpung"
강필,Gangpil
강하,Gangha
강학,"Ganghak, Ganghack, Ganghag"
강한,Ganghan
강함,Gangham
강해,Ganghae
강행,Ganghaeng
강헌,"Gangheon, Ganghun"
강혁,"Ganghyeok, Ganghyuck, Ganghyoug"
강현,"Ganghyeon, Ganghyun, Ganghyoun"
강협,"Ganghyeob, Ganghyub, Ganghyoub"
강형,"Ganghyeong, Ganghyung, Ganghyoung"
강혜,Ganghye
강호,Gangho
강홍,Ganghong
강화,"Ganghwa, Ganghoa"
강환,"Ganghwan, Ganghoan"
강회,"Ganghoe, Ganghoi"
강효,Ganghyo
강후,"Ganghoo, Ganghu"
강훈,"Ganghoon, Ganghun"
강휘,Ganghwi
강휴,Ganghyu
강휼,Ganghyul
강흔,"Gangheun, Ganghun"
강흠,"Gangheum, Ganghum"
강희,Ganghui
개괴,"Gaegoe, Gaegoi"
개두,Gaedwoo
개등,"Gaedeung, Gaedung"
개렬,"Gaeryeol, Gaeryul, Gaeryoul"
개리,Gaeri
개림,Gaerim
개명,"Gaemyeong, Gaemyung, Gaemyoung"
개민,Gaemin
개벽,"Gaebyeok, Gaebyuck, Gaebyoug"
개빈,Gaebin
개섭,"Gaeseob, Gaesub"
개성,"Gaeseong, Gaesung"
개승,"Gaeseung, Gaesung"
개심,Gaesim
개애,Gaeae
개영,"Gaeyeong, Gaeyung, Gaeyoung"
개운,Gaewoon
개원,"Gaewon, Gaeuon"
개자,Gaeja
개제,Gaeje
개천,"Gaecheon, Gaechun"
개청,"Gaecheong, Gaechung"
개택,"Gaetaek, Gaetaeck, Gaetaeg"
개한,Gaehan
개현,"Gaehyeon, Gaehyun, Gaehyoun"
개희,Gaehui
갱,Gaeng
갱신,Gaengsin
갱심,Gaengsim
갱위,Gaengwi
갱자,Gaengja
거,"Geo, Gu"
거거,"Geogeo, Gugu"
거걸,"Geogeol, Gugul"
거경,"Geogyeong, Gugyung, Gugyoung"
거광,"Geogwang, Gugoang"
거나,"Geona, Guna"
거남,"Geonam, Gunam"
거너,"Geoneo, Gunu"
거넨,"Geonen, Gunen"
거노,"Geono, Guno"
거누,"Geonoo, Geonu, Gunoo, Gunu"
거늘,"Geoneul, Gunul"
거니,"Geoni, Guni"
거담,"Geodam, Gudam"
거돈,"Geodon, Gudon"
거두,"Geodwoo, Gudwoo"
거란,"Georan, Guran"
거람,"Georam, Guram"
거랑,"Georang, Gurang"
거량,"Georyang, Guryang"
거련,"Georyeon, Guryun, Guryoun"
거령,"Georyeong, Guryung, Guryoung"
거로,"Georo, Guro"
거록,"Georok, Gurock, Gurog"
거룡,"Georyong, Guryong"
거루,"Georoo, Georu, Guroo, Guru"
거룩,"Georook, Georuk, Guroock, Guruck, Guroog, Gurug"
거륜,"Georyun, Guryun"
거림,"Georim, Gurim"
거목,"Geomok, Gumock, Gumog"
거물,"Geomool, Geomul, Gumool, Gumul"
거미,"Geomi, Gumi"
거민,"Geomin, Gumin"
거배,"Geobae, Gubae"
거범,"Geobeom, Gubum"
거부,"Geoboo, Geobu, Guboo, Gubu"
거붕,"Geoboong, Geobung, Guboong, Gubung"
거빈,"Geobin, Gubin"
거산,"Geosan, Gusan"
거서,"Geoseo, Gusu"
거성,"Geoseong, Gusung"
거세,"Geose, Guse"
거솔,"Geosol, Gusol"
거송,"Geosong, Gusong"
거스,"Geoseu, Gusu"
거아,"Geoa, Gua"
거암,"Geoam, Guam"
거연,"Geoyeon, Guyun, Guyoun"
거영,"Geoyeong, Guyung, Guyoung"
거용,"Geoyong, Guyong"
거울,"Geowool, Guwool"
거웅,"Geowoong, Guwoong"
거윤,"Geoyun, Guyun"
거율,"Geoyul, Guyul"
거읍,"Geoeub, Guub"
거인,"Geoin, Guin"
거정,"Geojeong, Gujung"
거존,"Geojon, Gujon"
거준,"Geojoon, Geojun, Gujoon, Gujun"
거진,"Geojin, Gujin"
거찬,"Geochan, Guchan"
거충,"Geochoong, Geochung, Guchoong, Guchung"
거탁,"Geotak, Gutack, Gutag"
거혁,"Geohyeok, Guhyuck, Guhyoug"
거현,"Geohyeon, Guhyun, Guhyoun"
거호,"Geoho, Guho"
거환,"Geohwan, Guhoan"
거회,"Geohoe, Guhoi"
거훈,"Geohoon, Geohun, Guhoon, Guhun"
거희,"Geohui, Guhui"
건,"Geon, Gun"
건각,"Geongak, Gungack, Gungag"
건강,"Geongang, Gungang"
건개,"Geongae, Gungae"
건결,"Geongyeol, Gungyul, Gungyoul"
건경,"Geongyeong, Gungyung, Gungyoung"
건곤,"Geongon, Gungon"
건공,"Geongong, Gungong"
건관,"Geongwan, Gungoan"
건굉,"Geongoeng, Gungoing"
건교,"Geongyo, Gungyo"
건구,"Geongoo, Geongu, Gungoo, Gungu"
건국,"Geongook, Geonguk, Gungoock, Gunguck, Gungoog, Gungug"
건군,"Geongoon, Geongun, Gungoon, Gungun"
건귀,"Geongwi, Gungwi"
건규,"Geongyu, Gungyu"
건균,"Geongyun, Gungyun"
건근,"Geongeun, Gungun"
건금,"Geongeum, Gungum"
건기,"Geongi, Gungi"
건길,"Geongil, Gungil"
건나,"Geonna, Gunna"
건낙,"Geonnak, Gunnack, Gunnag"
건남,"Geonnam, Gunnam"
건내,"Geonnae, Gunnae"
건녕,"Geonnyeong, Gunnyung, Gunnyoung"
건노,"Geonno, Gunno"
건누,"Geonnoo, Geonnu, Gunnoo, Gunnu"
건능,"Geonneung, Gunnung"
건담,"Geondam, Gundam"
건대,"Geondae, Gundae"
건덕,"Geondeok, Gunduck, Gundug"
건도,"Geondo, Gundo"
건동,"Geondong, Gundong"
건두,"Geondwoo, Gundwoo"
건등,"Geondeung, Gundung"
건량,"Geonryang, Gunryang"
건려,"Geonryeo, Gunryu, Gunryou"
건력,"Geonryeok, Gunryuck, Gunryoug"
건렬,"Geonryeol, Gunryul, Gunryoul"
건령,"Geonryeong, Gunryung, Gunryoung"
건례,"Geonrye, Gunrye"
건로,"Geonro, Gunro"
건록,"Geonrok, Gunrock, Gunrog"
건룡,"Geonryong, Gunryong"
건류,"Geonryu, Gunryu"
건륜,"Geonryun, Gunryun"
건률,"Geonryul, Gunryul"
건륭,"Geonryung, Gunryung"
건리,"Geonri, Gunri"
건림,"Geonrim, Gunrim"
건립,"Geonrib, Gunrib"
건매,"Geonmae, Gunmae"
건명,"Geonmyeong, Gunmyung, Gunmyoung"
건모,"Geonmo, Gunmo"
건목,"Geonmok, Gunmock, Gunmog"
건무,"Geonmoo, Geonmu, Gunmoo, Gunmu"
건묵,"Geonmook, Geonmuk, Gunmoock, Gunmuck, Gunmoog, Gunmug"
건문,"Geonmoon, Geonmun, Gunmoon, Gunmun"
건미,"Geonmi, Gunmi"
건민,"Geonmin, Gunmin"
건박,"Geonbak, Gunback, Gunbag"
건반,"Geonban, Gunban"
건방,"Geonbang, Gunbang"
건배,"Geonbae, Gunbae"
건백,"Geonbaek, Gunbaeck, Gunbaeg"
건범,"Geonbeom, Gunbum"
건별,"Geonbyeol, Gunbyul, Gunbyoul"
건병,"Geonbyeong, Gunbyung, Gunbyoung"
건보,"Geonbo, Gunbo"
건복,"Geonbok, Gunbock, Gunbog"
건봉,"Geonbong, Gunbong"
건부,"Geonboo, Geonbu, Gunboo, Gunbu"
건비,"Geonbi, Gunbi"
건빈,"Geonbin, Gunbin"
건사,"Geonsa, Gunsa"
건상,"Geonsang, Gunsang"
건생,"Geonsaeng, Gunsaeng"
건서,"Geonseo, Gunsu"
건석,"Geonseok, Gunsuck, Gunsug"
건선,"Geonseon, Gunsun"
건설,"Geonseol, Gunsul"
건섭,"Geonseob, Gunsub"
건성,"Geonseong, Gunsung"
건세,"Geonse, Gunse"
건소,"Geonso, Gunso"
건솔,"Geonsol, Gunsol"
건송,"Geonsong, Gunsong"
건수,"Geonsoo, Geonsu, Gunsoo, Gunsu"
건숙,"Geonsook, Geonsuk, Gunsoock, Gunsuck, Gunsoog, Gunsug"
건순,"Geonsoon, Geonsun, Gunsoon, Gunsun"
건슬,"Geonseul, Gunsul"
건승,"Geonseung, Gunsung"
건식,"Geonsik, Gunsick, Gunsig"
건신,"Geonsin, Gunsin"
건심,"Geonsim, Gunsim"
건아,"Geona, Guna"
건안,"Geonan, Gunan"
건앙,"Geonang, Gunang"
건애,"Geonae, Gunae"
건야,"Geonya, Gunya"
건양,"Geonyang, Gunyang"
건언,"Geoneon, Gunun"
건엘,"Geonel, Gunel"
건여,"Geonyeo, Gunyu, Gunyou"
건연,"Geonyeon, Gunyun, Gunyoun"
건열,"Geonyeol, Gunyul, Gunyoul"
건엽,"Geonyeob, Gunyub, Gunyoub"
건영,"Geonyeong, Gunyung, Gunyoung"
건예,"Geonye, Gunye"
건오,"Geono, Guno"
건옥,"Geonok, Gunock, Gunog"
건온,"Geonon, Gunon"
건완,"Geonwan, Gunoan"
건왕,"Geonwang, Gunoang"
건요,"Geonyo, Gunyo"
건용,"Geonyong, Gunyong"
건우,"Geonoo, Geonu, Gunoo, Gunu"
건욱,"Geonook, Geonuk, Gunoock, Gunuck, Gunoog, Gunug"
건운,"Geonoon, Geonun, Gunoon, Gunun"
건울,"Geonool, Geonul, Gunool, Gunul"
건웅,"Geonoong, Geonung, Gunoong, Gunung"
건원,"Geonwon, Gunuon"
건월,"Geonwol, Gunuol"
건위,"Geonwi, Gunwi"
건유,"Geonyu, Gunyu"
건윤,"Geonyun, Gunyun"
건율,"Geonyul, Gunyul"
건융,"Geonyung, Gunyung"
건은,"Geoneun, Gunun"
건음,"Geoneum, Gunum"
건읍,"Geoneub, Gunub"
건응,"Geoneung, Gunung"
건의,"Geonui, Gunui"
건이,"Geoni, Guni"
건익,"Geonik, Gunick, Gunig"
건인,"Geonin, Gunin"
건일,"Geonil, Gunil"
건임,"Geonim, Gunim"
건자,"Geonja, Gunja"
건재,"Geonjae, Gunjae"
건정,"Geonjeong, Gunjung"
건제,"Geonje, Gunje"
건조,"Geonjo, Gunjo"
건종,"Geonjong, Gunjong"
건주,"Geonjoo, Geonju, Gunjoo, Gunju"
건준,"Geonjoon, Geonjun, Gunjoon, Gunjun"
건중,"Geonjoong, Geonjung, Gunjoong, Gunjung"
건지,"Geonji, Gunji"
건진,"Geonjin, Gunjin"
건찬,"Geonchan, Gunchan"
건창,"Geonchang, Gunchang"
건채,"Geonchae, Gunchae"
건천,"Geoncheon, Gunchun"
건철,"Geoncheol, Gunchul"
건충,"Geonchoong, Geonchung, Gunchoong, Gunchung"
건치,"Geonchi, Gunchi"
건탁,"Geontak, Guntack, Guntag"
건탑,"Geontab, Guntab"
건태,"Geontae, Guntae"
건택,"Geontaek, Guntaeck, Guntaeg"
건토,"Geonto, Gunto"
건파,"Geonpa, Gunpa"
건평,"Geonpyeong, Gunpyung, Gunpyoung"
건표,"Geonpyo, Gunpyo"
건풍,"Geonpoong, Geonpung, Gunpoong, Gunpung"
건필,"Geonpil, Gunpil"
건하,"Geonha, Gunha"
건학,"Geonhak, Gunhack, Gunhag"
건한,"Geonhan, Gunhan"
건함,"Geonham, Gunham"
건항,"Geonhang, Gunhang"
건해,"Geonhae, Gunhae"
건행,"Geonhaeng, Gunhaeng"
건향,"Geonhyang, Gunhyang"
건허,"Geonheo, Gunhu"
건헌,"Geonheon, Gunhun"
건혁,"Geonhyeok, Gunhyuck, Gunhyoug"
